BenchmarkBitwiseAND-32                               	   32560	     16817 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseAND-32                               	   32500	     16737 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseAND-32                               	   39284	     16266 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseOR-32                                	   38695	     15757 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseOR-32                                	   38404	     15402 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseOR-32                                	   39148	     15363 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseXOR-32                               	   39069	     18648 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseXOR-32                               	   33908	     15089 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseXOR-32                               	   39872	     14891 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseSHL-32                               	   26516	     28240 ns/op	     264 B/op	      33 allocs/op
BenchmarkBitwiseSHL-32                               	   26298	     22674 ns/op	     264 B/op	      33 allocs/op
BenchmarkBitwiseSHL-32                               	   26398	     24315 ns/op	     264 B/op	      33 allocs/op
BenchmarkBitwiseSHR-32                               	   34698	     17401 ns/op	     120 B/op	      15 allocs/op
BenchmarkBitwiseSHR-32                               	   37536	     16434 ns/op	     120 B/op	      15 allocs/op
BenchmarkBitwiseSHR-32                               	   37999	     15424 ns/op	     120 B/op	      15 allocs/op
BenchmarkBitwiseNOT-32                               	   43906	     13241 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseNOT-32                               	   45342	     13322 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseNOT-32                               	   44721	     13410 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerDiv-32                               	   38317	     16114 ns/op	      24 B/op	       3 allocs/op
BenchmarkIntegerDiv-32                               	   38343	     16129 ns/op	      24 B/op	       3 allocs/op
BenchmarkIntegerDiv-32                               	   37866	     15978 ns/op	      24 B/op	       3 allocs/op
BenchmarkFloatAdd-32                                 	   28960	     20854 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                                 	   27211	     21912 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                                 	   26055	     25386 ns/op	    7320 B/op	     915 allocs/op
BenchmarkIntegerAdd-32                               	   39198	     14591 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32                               	   44919	     17517 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32                               	   44737	     13647 ns/op	       0 B/op	       0 allocs/op
BenchmarkThreadCreation-32                           	  321741	      2404 ns/op	   10555 B/op	       5 allocs/op
BenchmarkThreadCreation-32                           	  295459	      1737 ns/op	   10555 B/op	       5 allocs/op
BenchmarkThreadCreation-32                           	  282991	      1881 ns/op	   10555 B/op	       5 allocs/op
BenchmarkThreadCreationMinimal-32                    	  614030	       828.2 ns/op	    5513 B/op	       6 allocs/op
BenchmarkThreadCreationMinimal-32                    	  653300	       806.6 ns/op	    5512 B/op	       6 allocs/op
BenchmarkThreadCreationMinimal-32                    	  684054	       799.5 ns/op	    5512 B/op	       6 allocs/op
BenchmarkThreadWithExecution-32                      	 5728234	       104.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkThreadWithExecution-32                      	 5800544	       102.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkThreadWithExecution-32                      	 5797464	       105.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkThreadWithContext-32                        	 5779810	       103.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkThreadWithContext-32                        	 5598068	       103.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkThreadWithContext-32                        	 5817499	       104.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkTableGetStringKey-32                        	    6468	    104336 ns/op	       0 B/op	       0 allocs/op
