BenchmarkArithMixed-32                               	    5661	     95942 ns/op	   29784 B/op	      58 allocs/op
BenchmarkArithMixed-32                               	    5694	     96884 ns/op	   29784 B/op	      58 allocs/op
BenchmarkArithMixed-32                               	    5829	     96578 ns/op	   29784 B/op	      58 allocs/op
BenchmarkArithIntOnly-32                             	    5737	     92112 ns/op	   23600 B/op	      46 allocs/op
BenchmarkArithIntOnly-32                             	    6018	    100855 ns/op	   23600 B/op	      46 allocs/op
BenchmarkArithIntOnly-32                             	    5790	     93005 ns/op	   23600 B/op	      46 allocs/op
BenchmarkVMFunctionCall-32                           	   10000	     55743 ns/op	    5112 B/op	       9 allocs/op
BenchmarkVMFunctionCall-32                           	   10000	     54871 ns/op	    5112 B/op	       9 allocs/op
BenchmarkVMFunctionCall-32                           	    9867	     56476 ns/op	    5112 B/op	       9 allocs/op
BenchmarkLocalAccess-32                              	   12120	     50283 ns/op	   23960 B/op	      46 allocs/op
BenchmarkLocalAccess-32                              	   12040	     49840 ns/op	   23960 B/op	      46 allocs/op
BenchmarkLocalAccess-32                              	   12198	     49496 ns/op	   23960 B/op	      46 allocs/op
BenchmarkUpvalueAccess-32                            	   10000	     65625 ns/op	     120 B/op	       3 allocs/op
BenchmarkUpvalueAccess-32                            	   10000	     59760 ns/op	     120 B/op	       3 allocs/op
BenchmarkUpvalueAccess-32                            	   10000	     61112 ns/op	     120 B/op	       3 allocs/op
BenchmarkComparison-32                               	   21339	     31954 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32                               	   20835	     27134 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32                               	   21708	     27729 ns/op	       0 B/op	       0 allocs/op
BenchmarkVMGlobalAccess-32                           	   12586	     48259 ns/op	    7958 B/op	      15 allocs/op
BenchmarkVMGlobalAccess-32                           	   12681	     45812 ns/op	    7959 B/op	      15 allocs/op
BenchmarkVMGlobalAccess-32                           	   12678	     46604 ns/op	    7959 B/op	      15 allocs/op
BenchmarkForNumeric-32                               	    4564	    146032 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32                               	    4561	    143268 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32                               	    4392	    141072 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                                 	   72128	      8466 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                                 	   72396	      8617 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                                 	   72147	      8575 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32                                	  104295	      5775 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32                                	  118968	      5471 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32                                	  117674	      5697 ns/op	       0 B/op	       0 allocs/op
BenchmarkVMTableCreate-32                            	   28454	     21357 ns/op	   47264 B/op	     304 allocs/op
BenchmarkVMTableCreate-32                            	   26980	     21633 ns/op	   47264 B/op	     304 allocs/op
BenchmarkVMTableCreate-32                            	   27133	     23266 ns/op	   47264 B/op	     304 allocs/op
BenchmarkClosureCreate-32                            	   52418	     11321 ns/op	   16064 B/op	     304 allocs/op
